"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
1942987,"GAMBREEZZI, PA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","HEALTHCARE MANAGEMENT"
1942210,"PROUD AMERICAN TAX","N","N","N","N","N","N","N","N","N","N","N","Y","N","N",""
1942210,"CHRIS MOBILE NOTARY","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","NOTARY"
1942210,"PROUD AMERICAN REAL ESTATE","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
1941508,"GAMBREEZZI, PA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","HEALTHCARE MANAGEMENT"
1931010,"NA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","INVESTMENT PARTNERSHIP"
1922844,"ALTECH VENTURES","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","EQUITY HOLDING COMPANY"
1922844,"ALTEUM VENTURES LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PASS THROUGH ENTITY FOR CAYMAN HOLDING COMPANY"
1922844,"ALTEUMX INTERNATIONAL SA","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PAYMENT PROCESSING"
1922844,"ELECTRONIC DIGITAL ASSETS S.A.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","TECHNOLOGY DEVELOPMENT"
1922844,"XCHANGE TECHNOLOGIES, S.A.P.I. DE C.V.","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","PAYMENT PROCESSOR"
1922844,"3TECH INTERNATIONAL LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","NON US INVESTOR HEDGEFUND"
