"FilingID","Representation 1","Representation 2"
1976163,"Y","Y"
1976182,"Y","Y"
1976241,"Y","Y"
1976265,"Y","Y"
1976435,"Y","Y"
1976440,"Y","Y"
1967253,"Y","Y"
1970546,"Y","Y"
1975574,"Y","Y"
1976647,"Y","Y"
1968731,"Y","Y"
1975225,"Y","Y"
1977070,"Y","Y"
1977088,"Y","Y"
1975153,"Y","Y"
1965533,"Y","Y"
1975580,"Y","Y"
1975472,"Y","Y"
1975694,"Y","Y"
1959041,"Y","Y"
1975691,"Y","Y"
1976099,"Y","Y"
1978405,"Y","Y"
1976381,"Y","Y"
1977034,"Y","Y"
1978512,"Y","Y"
1979413,"Y","Y"
1976431,"Y","Y"
1980661,"Y","Y"
1949768,"Y","Y"
1973908,"Y","Y"
1974972,"Y","Y"
1950785,"Y","Y"
1976096,"Y","Y"
1976117,"Y","Y"
1975439,"Y","Y"
1976304,"Y","Y"
1976100,"Y","Y"
1975841,"Y","Y"
1976071,"Y","Y"
1957791,"Y","Y"
1973903,"Y","Y"
1976939,"Y","Y"
1976958,"Y","Y"
1976955,"Y","Y"
1976036,"Y","Y"
1977087,"Y","Y"
1967405,"Y","Y"
1977171,"Y","Y"
1976613,"Y","Y"
1977226,"Y","Y"
1977388,"Y","Y"
1977504,"Y","Y"
1977540,"Y","Y"
1978362,"Y","Y"
1978407,"Y","Y"
1919772,"Y","Y"
1976151,"Y","Y"
1978313,"Y","Y"
1944959,"Y","Y"
1978931,"Y","Y"
1978949,"Y","Y"
1979058,"Y","Y"
1979131,"Y","Y"
1979169,"Y","Y"
1975718,"Y","Y"
1974835,"Y","Y"
1975818,"Y","Y"
1977866,"Y","Y"
1976904,"Y","Y"
1964523,"Y","Y"
1978015,"Y","Y"
1979468,"Y","Y"
1979541,"Y","Y"
1979652,"Y","Y"
1978278,"Y","Y"
1919968,"Y","Y"
1978491,"Y","Y"
1976798,"Y","Y"
1979997,"Y","Y"
1975374,"Y","Y"
1977879,"Y","Y"
1959745,"Y","Y"
1939073,"Y","Y"
1951162,"Y","Y"
1979857,"Y","Y"
1980094,"Y","Y"
1937517,"Y","Y"
1980253,"Y","Y"
1979284,"Y","Y"
1980333,"Y","Y"
1976896,"Y","Y"
1980573,"Y","Y"
1981592,"Y","Y"
1983373,"Y","Y"
1980817,"Y","Y"
1979568,"Y","Y"
1978396,"Y","Y"
1980613,"Y","Y"
1982853,"Y","Y"
1982897,"Y","Y"
1982974,"Y","Y"
1982895,"Y","Y"
1980380,"Y","Y"
1975245,"Y","Y"
1978300,"Y","Y"
1984021,"Y","Y"
1983512,"Y","Y"
1981763,"Y","Y"
1925780,"Y","Y"
1975922,"Y","Y"
1982074,"Y","Y"
1978499,"Y","Y"
1980892,"Y","Y"
1980899,"Y","Y"
1980600,"Y","Y"
1982767,"Y","Y"
1981968,"Y","Y"
1983406,"Y","Y"
1983493,"Y","Y"
1979836,"Y","Y"
1982607,"Y","Y"
1982618,"Y","Y"
1983055,"Y","Y"
1983783,"Y","Y"
1984024,"Y","Y"
1951851,"Y","Y"
1979513,"Y","Y"
1979895,"Y","Y"
1980975,"Y","Y"
1977420,"Y","Y"
1982430,"Y","Y"
1980615,"Y","Y"
1980783,"Y","Y"
1980590,"Y","Y"
1983346,"Y","Y"
1977402,"Y","Y"
1981058,"Y","Y"
1985210,"Y","Y"
1986245,"Y","Y"
1985476,"Y","Y"
1985655,"Y","Y"
1985939,"Y","Y"
1945282,"Y","Y"
1982167,"Y","Y"
1980690,"Y","Y"
1981733,"Y","Y"
1981918,"Y","Y"
1983372,"Y","Y"
1983423,"Y","Y"
1983440,"Y","Y"
1950501,"Y","Y"
1977048,"Y","Y"
1981655,"Y","Y"
1981670,"Y","Y"
1981709,"Y","Y"
1978909,"Y","Y"
1982011,"Y","Y"
1985144,"Y","Y"
1985625,"Y","Y"
1979159,"Y","Y"
1984722,"Y","Y"
1980999,"Y","Y"
1961917,"Y","Y"
1980698,"Y","Y"
1975537,"Y","Y"
1985956,"Y","Y"
1985995,"Y","Y"
1984121,"Y","Y"
1975736,"Y","Y"
1979350,"Y","Y"
